age_cats,detection_rate_0_rel_trans,detection_rate_0_1_rel_trans,detection_rate_0_25_rel_trans,detection_rate_0_5_rel_trans,detection_rate_1_rel_trans
0-4,0.0032132942551296073,0.0019085741738161935,0.0015673144597181795,0.0014811258283443686,0.001450227105244955
5-9,0.002525130404933708,0.0013448833724630513,0.001083738207522188,0.0009934325133890117,0.000945168119828044
10-14,0.0033055423916045442,0.0015922190954507246,0.0012321732682327468,0.001110876551349466,0.0010688736094292537
15-19,0.0036376354581176542,0.0018930664410775713,0.0014918984360706834,0.0013825822582169834,0.0013157681008248376
20-24,0.030578791155347822,0.018430137302763643,0.015318045357572876,0.01445744187339592,0.01387961113362265
25-29,0.039895108177140294,0.021633825125777394,0.01796688688536064,0.016737396531370324,0.016358918688186536
30-34,0.08519141460908572,0.0439904367746322,0.03489398614559709,0.03183318022068097,0.030847590803787257
35-39,0.06533086178866265,0.03363611566695157,0.02708630932370156,0.025410175020123202,0.024264458644839743
40-44,0.0630183135623711,0.034016726812715004,0.030352456438655317,0.028401730919589748,0.027964135102270814
45-49,0.12384753791668596,0.06507401945438064,0.047330057477788956,0.04289467361510134,0.04009280361437799
50-54,0.16081755195384076,0.10331682559362071,0.08327391136321817,0.077324499612077,0.07448892705044297
55-59,0.1236233259841469,0.11904777380891356,0.126771119925242,0.13011386171978764,0.13211545446823209
60-64,0.19038910107408466,0.17661144296422998,0.17585339993132643,0.1767996553966352,0.1785134796487357
65-69,0.26400649629820055,0.27613122181965105,0.2954179458221025,0.31097194512872545,0.3202428440941412
70-74,0.12012015733537285,0.1730372169604572,0.23572670245980556,0.27148031174782455,0.2861718221652173
75-79,0.5952839005005839,0.512292837974631,0.42901939164197095,0.3877944532705639,0.3730905484085009
80+,1.0,1.0,1.0,1.0,1.0
