sc_nb,n_traj,τₚ,stop_Q,Κ_max_capacity12,κ_per_event4,IDs_cfirst,dt,ext_inf_rate,ϵ,δ,γ,σ,β,τ,κ,κₘ,Δₜ,Κ_max_capacity,Κ_max_capacity4
1,2,0.0,true,0,50,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
2,2,0.0,true,0,50,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
3,2,0.0,true,0,100,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
4,2,0.0,true,0,100,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
5,2,0.0,true,0,200,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
6,2,0.0,true,0,200,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
7,2,0.0,true,1000,50,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
8,2,0.0,true,1000,50,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
9,2,0.0,true,1000,100,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
10,2,0.0,true,1000,100,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
11,2,0.0,true,1000,200,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
12,2,0.0,true,1000,200,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
13,2,0.0,true,10000,50,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
14,2,0.0,true,10000,50,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
15,2,0.0,true,10000,100,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
16,2,0.0,true,10000,100,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
17,2,0.0,true,10000,200,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
18,2,0.0,true,10000,200,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
19,2,0.0,true,100000,50,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
20,2,0.0,true,100000,50,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
21,2,0.0,true,100000,100,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
22,2,0.0,true,100000,100,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
23,2,0.0,true,100000,200,true,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
24,2,0.0,true,100000,200,false,0.5,0.0,0.3,0.2,0.4,0.2,2.7272727272727275,0.5,12,10,10,0,0
