County,_Rural,_Urban,Rural,Urban,Total,Location_1,wider_area,x_location,y_location
Baringo,88.90%,11.10%,494010,61551,555561,"(0.512912, 35.952537)",8,4002.2364188399997,56.71267984
Bomet,85.20%,14.80%,759580,132255,891835,"(-0.690131, 35.278005)",13,3927.1475166,-76.30778467
Bungoma,78.30%,21.70%,1076367,298696,1375063,"(0.737046, 34.672536)",5,3859.7467075199997,81.49517621999999
Busia,83.60%,16.40%,621756,122190,743946,"(0.428414, 34.210571)",6,3808.32076372,47.36973598
Elgeyo Marakwet,85.60%,14.40%,316812,53186,369998,"(0.806011, 35.564093)",5,3958.9948327599996,89.12063626999999
Embu,83.90%,16.10%,433291,82921,516212,"(-0.5982, 37.653906)",2,4191.632815919999,-66.142974
Garissa,76.50%,23.50%,476392,146668,623060,"(-0.564679, 40.408457)",7,4498.26943324,-62.43655703
Homa Bay,85.70%,14.30%,825743,138051,963794,"(-0.640985, 34.411083)",18,3830.6417595599996,-70.87371145
Isiolo,56.50%,43.50%,80920,62374,143294,"(0.949302, 38.614718)",7,4298.59040776,104.96432214
Kajiado,58.60%,41.40%,402450,284862,687312,"(-2.221971, 36.980268)",10,4116.64343376,-245.68333346999998
Kakamega,84.80%,15.20%,1408040,252611,1660651,"(0.308499, 34.654844)",15,3857.7772340799993,34.11073443
Kericho,61.30%,38.70%,362372,228318,590690,"(-0.297842, 35.319833)",13,3931.80380956,-32.93238994
Kiambu,39.20%,60.80%,656309,1017476,1673785,"(-1.060698, 36.79929)",4,4096.4969628,-117.28137785999998
Kilifi,74.30%,25.70%,824253,285482,1109735,"(-3.279972, 39.63501)",20,4412.1693132,-362.66650403999995
Kirinyaga,84.20%,15.80%,444650,83404,528054,"(-0.517766, 37.302006)",1,4152.459307919999,-57.24938661999999
Kisii,78.50%,21.50%,991840,271719,1263559,"(-0.782524, 34.766895)",18,3870.2507513999994,-86.52367867999999
Kisumu,47.60%,52.40%,461189,507720,968909,"(-0.167225, 34.953647)",13,3891.0399840399996,-18.49006825
Kitui,86.20%,13.80%,872800,139909,1012709,"(-1.519146, 38.376101)",17,4272.02756332,-167.97197322
Kwale,81.90%,18.10%,532255,117676,649931,"(-4.242667, 39.174233)",12,4360.87561756,-469.11169019
Laikipia,75.20%,24.80%,300110,99117,399227,"(0.311627, 36.814178)",3,4098.15429496,34.45659739
Lamu,80.10%,19.90%,81301,20238,101539,"(-2.03752, 40.688214)",14,4529.41198248,-225.2885864
Machakos,48%,52%,527229,571355,1098584,"(-1.327138, 37.352277)",4,4158.05547564,-146.74164865999998
Makueni,88.20%,11.80%,780230,104297,884527,"(-2.211917, 37.865047)",17,4215.137032039999,-244.57166269
Mandera,81.90%,18.10%,840188,185568,1025756,"(3.46712, 40.704671)",2,4531.243975719999,383.3594584
Marsabit,78%,22%,227157,64009,291166,"(2.772167, 37.76822)",7,4204.3582504,306.51850519
Meru,88%,12%,1401036,190497,1591533,"(0.159398, 37.750761)",11,4202.4147145199995,17.62463686
Migori,66%,34%,605658,311512,917170,"(-1.008592, 34.42681)",18,3832.3924892,-111.52001743999999
Mombasa,0%,100%,,939370,939370,"(-3.998813, 39.632129)",12,4411.84860028,-442.14875341
Murang'a,83.70%,16.30%,746876,145202,892078,"(-0.804314, 37.035566)",1,4122.79920712,-88.93299898
Nairobi,0%,100%,,3138369,3138369,"(-1.296975, 36.844534)",4,4101.53352488,-143.40652575
Nakuru,54.20%,45.80%,868300,735025,1603325,"(-0.385212, 36.036261)",11,4011.55657452,-42.592890839999995
Nandi,86.40%,13.60%,650684,102281,752965,"(0.143371, 35.156125)",13,3913.579835,15.852531469999999
Narok,93.10%,6.90%,792426,58494,850920,"(-1.227452, 35.686784)",8,3972.65279488,-135.71936764
Nyamira,86%,14%,418672,68303,486975,"(-0.644917, 34.955612)",13,3891.25872784,-71.30847268999999
Nyandarua,81.50%,18.50%,485750,110518,596268,"(-0.374727, 36.494076)",3,4062.52054032,-41.433564389999994
Nyeri,75.50%,24.50%,523941,169617,693558,"(-0.407168, 36.965186)",19,4114.96450552,-45.02056576
Samburu,82.70%,17.30%,185283,38664,223947,"(1.183862, 37.184377)",19,4139.364847639999,130.89962133999998
Siaya,89.20%,10.80%,751677,90627,842304,"(0.070277, 34.293463)",15,3817.54830116,7.77052789
Taita Taveta,77.40%,22.60%,220368,64289,284657,"(-3.551502, 38.376101)",10,4272.02756332,-392.68957614
Tana River,85%,15%,204010,36065,240075,"(-1.584971, 39.536272)",14,4401.17779904,-175.25024347
Tharaka Nithi,93.40%,6.60%,121563,8535,130098,"(-0.227324, 37.882411)",2,4217.06999252,-25.135214679999997
Trans Nzoia,79.60%,20.40%,651337,167420,818757,"(1.030597, 34.949297)",5,3890.55574204,113.95311029
Turkana,85.80%,14.20%,733680,121719,855399,"(3.318344, 35.401457)",9,3940.89019324,366.90929608
Uasin Gishu,61.40%,38.60%,548620,345559,894179,"(0.555288, 35.306307)",6,3930.2980952399994,61.398194159999996
Vihiga,68.60%,31.40%,380517,174105,554622,"(0.304142, 34.943582)",6,3889.9195482399996,33.62898094
Wajir,85.40%,14.60%,565086,96855,661941,"(1.895541, 40.07933)",16,4461.6310156,209.58996836999998
West Pokot,91.70%,8.30%,469994,42696,512690,"(1.575837, 35.316901)",9,3931.47741932,174.24029708999998
