Risk region name,Risk region,“0-4”,“5-9”,“10-14”,“15-19”,“20-24”,“25-29”,“30-34”,“35-39”,“40-44”,“45-49”,“50-54”,“55-59”,“60-64”,“65-69”,“70-74”,“75-79”,“80+”
Machakos/Muranga,1.00,416463.00,425966.00,454475.50,416788.00,331301.50,286751.50,307800.50,285698.50,252214.50,219259.00,176130.00,157277.00,112483.00,96395.50,79974.00,45831.50,73948.00
Mandera,2.00,161091.00,165159.00,149473.00,108344.00,72683.00,54909.00,44808.00,28922.00,26932.00,14743.00,12494.00,7402.00,7842.00,3792.00,4035.00,1574.00,3214.00
Baringo/Nakuru,3.00,299461.00,302875.50,312922.00,264691.00,213989.50,175766.00,164857.50,128736.00,109429.50,92840.00,69828.00,57244.00,40460.50,32116.50,25982.50,14996.50,19985.50
Nairobi,4.00,954721.00,822589.50,753803.50,688018.00,956117.00,953579.00,832070.00,610329.50,463737.00,340496.50,234830.00,169696.00,108295.50,74759.00,53332.00,28196.50,39497.50
Uasin Gishu,5.00,444703.00,456498.00,456923.00,379508.00,309162.00,249235.00,222470.00,158306.00,138321.00,112411.00,77741.00,66625.00,51194.00,38703.00,28616.00,16702.00,22027.00
Marsabit,6.00,69160.00,75216.00,71431.00,57199.00,42954.00,34711.00,27856.00,17429.00,15515.00,11175.00,9731.00,6893.00,6604.00,4013.00,4616.00,1743.00,3515.00
Garissa,7.00,138205.00,161700.50,160008.00,134561.00,98661.00,74348.00,61468.50,43432.00,37953.00,24133.00,20938.50,12368.00,12221.00,6605.00,6051.00,2389.00,4239.00
Nakuru/Narok,8.00,265607.50,270717.00,268390.00,217924.50,180666.00,151349.00,143055.00,109044.50,92640.00,77534.00,56624.00,45653.50,31132.50,23758.00,18888.50,11282.00,14817.00
Turkana,9.00,131429.00,145125.00,142258.00,119323.00,94590.00,75817.00,57295.00,39987.00,33068.00,23632.00,17387.00,12009.00,11808.00,8098.00,7523.00,3587.00,4016.00
Taita Taveta,10.00,38689.00,37363.00,39830.00,34826.00,29215.00,26157.00,24883.00,21815.00,18741.00,16455.00,12634.00,11247.00,9077.00,7227.00,5220.00,2960.00,4322.00
Kitui/Meru,11.00,273974.00,288431.00,320559.00,271979.00,201193.00,167060.50,170405.50,144982.00,121499.00,101910.00,70496.50,65673.00,52841.00,43364.50,36789.00,18378.50,32171.50
Kilifi/Mombasa,12.00,279991.67,264585.33,246992.50,206735.00,220760.83,211259.67,181930.83,130091.00,111760.83,82035.50,55221.17,42469.33,34381.17,23781.17,16213.83,8261.67,9782.17
Kericho/Kisumu,13.00,355523.00,393274.50,434119.50,355044.00,267595.00,229442.00,223892.00,146127.50,131182.50,108872.00,69716.50,71656.00,56722.00,41782.50,32700.00,16965.50,26103.50
Kilifi/Lamu,14.00,112270.67,113958.83,110742.00,89068.00,71888.33,60002.67,51502.83,35682.00,33701.33,26223.00,19733.17,16808.33,15643.67,11116.67,8290.33,4389.67,5439.67
Kakamega/Kisumu,15.00,921198.00,1055302.50,1145046.50,939280.00,625824.00,493034.00,484836.00,347017.50,317550.50,249127.00,203646.50,190182.00,159918.00,122950.50,92409.00,56169.50,74769.50
Wajir,16.00,122827.00,137434.00,132378.00,98847.00,65600.00,56113.00,47679.00,32813.00,29895.00,15823.00,14198.00,7935.00,8030.00,3755.00,3810.00,1552.00,2523.00
Kajiado/Kisumu,17.00,237684.00,256435.50,287932.00,249117.00,183544.50,157215.00,150521.00,120153.00,102266.50,91200.50,63881.50,53906.00,46289.50,38673.00,30153.00,16329.50,29286.00
Homa bay/Migori,18.00,554575.00,610151.50,646058.50,484043.50,349662.50,287890.50,277210.00,182401.50,159410.50,129123.50,86944.00,92803.50,76801.50,56659.50,43571.50,23033.50,33679.50
Samburu/Laikipia,19.00,83451.50,85085.00,80991.50,64408.00,51033.00,41130.50,36310.50,26078.00,23408.00,19443.50,14627.00,11823.00,9902.50,7075.00,6528.50,3557.00,4734.00
Kilifi/Kwale,20.00,132088.67,134599.33,131568.50,106002.00,81027.83,68631.67,59713.83,40978.00,39942.83,29768.50,21764.17,18397.33,18347.17,13538.17,9818.83,5216.67,6573.17
