ADM0_EN,ADM1_EN,ADM2_EN
Kenya,Uasin Gishu,Ainabkoi
Kenya,Kericho,Ainamoi
Kenya,Nandi,Aldai
Kenya,Siaya,Alego Usonga
Kenya,Migori,Awendo
Kenya,Nakuru,Bahati
Kenya,Garissa,Balambala
Kenya,Mandera,Banissa
Kenya,Baringo,Baringo Central
Kenya,Baringo,Baringo North
Kenya,Baringo,Baringo South
Kenya,Kericho,Belgut
Kenya,Kisii,Bobasi
Kenya,Kisii,Bomachoge Borabu
Kenya,Kisii,Bomachoge Chache
Kenya,Bomet,Bomet Central
Kenya,Bomet,Bomet East
Kenya,Kisii,Bonchari
Kenya,Siaya,Bondo
Kenya,Nyamira,Borabu
Kenya,Busia,Budalangi
Kenya,Bungoma,Bumula
Kenya,Tana River,Bura
Kenya,Kericho,Buret
Kenya,Kakamega,Butere
Kenya,Busia,Butula
Kenya,Meru,Buuri
Kenya,Meru,Cental Imenti
Kenya,Mombasa,Changamwe
Kenya,Bomet,Chepalungu
Kenya,Trans Nzoia,Cherangany
Kenya,Nandi,Chesumei
Kenya,Garissa,Dadaab
Kenya,Nairobi,Dagoretti
Kenya,Garissa,Dujis
Kenya,Baringo,Eldama Ravine
Kenya,Wajir,Eldas
Kenya,Nairobi,Embakasi Central
Kenya,Nairobi,Embakasi East
Kenya,Nairobi,Embakasi North
Kenya,Nairobi,Embakasi South
Kenya,Nairobi,Embakasi West
Kenya,Nandi,Emgwen
Kenya,Vihiga,Emuhaya
Kenya,Narok,Emurua Dikirr
Kenya,Trans Nzoia,Endebess
Kenya,Garissa,Fafi
Kenya,Busia,Funyula
Kenya,Embu,Gachoka
Kenya,Tana River,Galole
Kenya,Kilifi,Ganze
Kenya,Tana River,Garsen
Kenya,Murang'a,Gatanga
Kenya,Kiambu,Gatundu North
Kenya,Kiambu,Gatundu South
Kenya,Siaya,Gem
Kenya,Kirinyaga,Gichugu
Kenya,Nakuru,Gilgil
Kenya,Kiambu,Githunguri
Kenya,Vihiga,Hamisi
Kenya,Homa Bay,Homa Bay
Kenya,Meru,Igembe Central
Kenya,Meru,Igembe North
Kenya,Meru,Igembe South
Kenya,Garissa,Ijara
Kenya,Kakamega,Ikolomani
Kenya,Isiolo,Isiolo North
Kenya,Isiolo,Isiolo South
Kenya,Mombasa,Jomvu
Kenya,Kiambu,Juja
Kenya,Kiambu,Kabete
Kenya,Homa Bay,Kabondo Kasipul
Kenya,Bungoma,Kabuchai
Kenya,West Pokot,Kacheliba
Kenya,Makueni,Kaiti
Kenya,Kajiado,Kajiado Central
Kenya,Kajiado,Kajiado East
Kenya,Kajiado,Kajiado North
Kenya,Kajiado,Kajiado South
Kenya,Kajiado,Kajiado West
Kenya,Kilifi,Kaloleni
Kenya,Nairobi,Kamukunji
Kenya,Murang'a,Kandara
Kenya,Bungoma,Kanduyi
Kenya,Murang'a,Kangema
Kenya,Machakos,Kangundo
Kenya,West Pokot,Kapenguria
Kenya,Uasin Gishu,Kapseret
Kenya,Homa Bay,Karachuonyo
Kenya,Nairobi,Kasarani
Kenya,Homa Bay,Kasipul
Kenya,Machakos,Kathiani
Kenya,Elgeyo-Marakwet,Keiyo North
Kenya,Elgeyo-Marakwet,Keiyo South
Kenya,Uasin Gishu,Kesses
Kenya,Kakamega,Khwisero
Kenya,Kiambu,Kiambaa
Kenya,Kiambu,Kiambu
Kenya,Nairobi,Kibra
Kenya,Makueni,Kibwezi East
Kenya,Makueni,Kibwezi West
Kenya,Nyeri,Kieni
Kenya,Murang'a,Kigumo
Kenya,Murang'a,Kiharu
Kenya,Kiambu,Kikuyu
Kenya,Narok,Kilgoris
Kenya,Kilifi,Kilifi North
Kenya,Kilifi,Kilifi South
Kenya,Nairobi,Kilimani
Kenya,Makueni,Kilome
Kenya,Bungoma,Kimilili
Kenya,Trans Nzoia,Kiminini
Kenya,Kwale,Kinango
Kenya,Nyandarua,Kinangop
Kenya,Nyandarua,Kipipiri
Kenya,Kericho,Kipkelion East
Kenya,Kericho,Kipkelion West
Kenya,Kirinyaga,Kirinyaga Central
Kenya,Mombasa,Kisauni
Kenya,Kisumu,Kisumu Central
Kenya,Kisumu,Kisumu East
Kenya,Kisumu,Kisumu West
Kenya,Kitui,Kitui Central
Kenya,Kitui,Kitui East
Kenya,Kitui,Kitui Rural
Kenya,Kitui,Kitui South
Kenya,Kitui,Kitui West
Kenya,Kisii,Kitutu Chache North
Kenya,Kisii,Kitutu Chache South
Kenya,Nyamira,Kitutu Masaba
Kenya,Bomet,Konoin
Kenya,Nakuru,Kuresoi North
Kenya,Nakuru,Kuresoi South
Kenya,Migori,Kuria East
Kenya,Migori,Kuria West
Kenya,Trans Nzoia,Kwanza
Kenya,Mandera,Lafey
Kenya,Garissa,Lagdera
Kenya,Laikipia,Laikipia East
Kenya,Laikipia,Laikipia North
Kenya,Laikipia,Laikipia West
Kenya,Marsabit,Laisamis
Kenya,Lamu,Lamu East
Kenya,Lamu,Lamu West
Kenya,Nairobi,Langata
Kenya,Kiambu,Lari
Kenya,Mombasa,Likoni
Kenya,Kakamega,Likuyani
Kenya,Kiambu,Limuru
Kenya,Turkana,Loima
Kenya,Vihiga,Luanda
Kenya,Kakamega,Lugari
