Name,“0-4”,“5-9”,“10-14”,“15-19”,“20-24”,“25-29”,“30-34”,“35-39”,“40-44”,“45-49”,“50-54”,“55-59”,“60-64”,“65-69”,“70-74”,“75-79”,“80+”
Baringo,111554.00,111902.00,107796.00,86696.00,61326.00,50929.00,44450.00,39009.00,29940.00,23538.00,17728.00,13980.00,11457.00,8069.00,5038.00,3060.00,3296.00
Bomet,188073.00,181794.00,159581.00,141956.00,118017.00,92293.00,84518.00,71689.00,49619.00,42246.00,29658.00,22886.00,17317.00,11890.00,7545.00,5257.00,5580.00
Bungoma,284961.00,260783.00,226072.00,198882.00,148746.00,114545.00,108789.00,91031.00,73083.00,58541.00,43359.00,34300.00,23319.00,18956.00,11092.00,7555.00,5584.00
Busia,149621.00,135255.00,124620.00,107502.00,79039.00,59314.00,55928.00,45648.00,39043.00,30612.00,24317.00,19224.00,14782.00,11956.00,7564.00,5341.00,3467.00
Embu,70865.00,71231.00,69360.00,61469.00,51480.00,50357.00,50331.00,44016.00,37060.00,29887.00,20139.00,17747.00,13068.00,9412.00,6711.00,4049.00,4540.00
Garissa,187054.00,220011.00,216192.00,174365.00,121505.00,93062.00,87824.00,71832.00,72117.00,35796.00,34146.00,15518.00,19244.00,7867.00,9022.00,2703.00,4784.00
Homa Bay,198888.00,171893.00,157944.00,139546.00,106089.00,80916.00,70951.00,54445.00,45223.00,36720.00,30492.00,25150.00,19978.00,14927.00,9590.00,6534.00,4902.00
Isiolo,23837.00,22319.00,20741.00,17968.00,14953.00,12314.00,10731.00,8903.00,7904.00,5600.00,4912.00,2976.00,2835.00,1654.00,1474.00,635.00,778.00
Kajiado,125706.00,111057.00,95679.00,82015.00,82689.00,78757.00,65958.00,56327.00,41574.00,26491.00,18333.00,12763.00,9241.00,6729.00,4162.00,2175.00,2712.00
Kakamega,335993.00,300687.00,267484.00,236262.00,180435.00,138442.00,133699.00,112900.00,95236.00,74542.00,60017.00,48909.00,34471.00,27984.00,16320.00,11108.00,8064.00
Keiyo-Marakwet,78058.00,74180.00,69448.00,58517.00,44845.00,36698.00,33931.00,28473.00,21199.00,17948.00,13216.00,10691.00,8525.00,7033.00,3941.00,2401.00,2818.00
Kericho,119331.00,111718.00,99514.00,90670.00,82246.00,67161.00,61691.00,51597.00,36725.00,30420.00,20584.00,15769.00,11407.00,7907.00,4909.00,3175.00,3247.00
Kiambu,229929.00,208902.00,193984.00,183800.00,215253.00,215428.00,201222.00,166470.00,126254.00,88046.00,56262.00,43598.00,32543.00,25699.00,13739.00,8292.00,8278.00
Kilifi,228633.00,208896.00,184509.00,157922.00,120531.00,101149.00,99264.00,79617.00,62459.00,46191.00,40382.00,30540.00,23729.00,18511.00,10458.00,6541.00,5928.00
Kirinyaga,63565.00,66765.00,62934.00,54104.00,55553.00,59266.00,60103.00,52646.00,43821.00,33830.00,21801.00,17866.00,14594.00,10145.00,6795.00,3972.00,5056.00
Kisii,216819.00,190362.00,176399.00,164240.00,128058.00,100193.00,88507.00,78740.00,59315.00,54210.00,39858.00,29232.00,21661.00,16054.00,10219.00,6523.00,5721.00
Kisumu,183006.00,155143.00,149030.00,141014.00,124048.00,100236.00,83484.00,63775.00,51608.00,39695.00,32149.00,25431.00,19031.00,14275.00,8927.00,5675.00,4230.00
Kitui,181788.00,184417.00,171246.00,150250.00,86793.00,71640.00,75288.00,70761.00,53716.00,42727.00,33566.00,31092.00,26516.00,18817.00,13475.00,7379.00,10023.00
Kwale,136970.00,121797.00,106347.00,90526.00,67966.00,60153.00,59612.00,47767.00,36732.00,27454.00,23881.00,17896.00,14324.00,10348.00,6166.00,3433.00,3208.00
Laikipia,73475.00,72938.00,68463.00,55819.00,46672.00,44018.00,42616.00,37800.00,31115.00,24080.00,15979.00,12938.00,10918.00,8419.00,4553.00,2491.00,2878.00
Lamu,18338.00,17129.00,14651.00,13811.00,11798.00,10140.00,9932.00,8750.00,7046.00,5030.00,3965.00,2946.00,2540.00,1564.00,1089.00,404.00,564.00
Machakos,170901.00,169219.00,166685.00,152328.00,120949.00,109365.00,106685.00,91221.00,71418.00,58215.00,46319.00,38502.00,27371.00,20805.00,13317.00,7973.00,10227.00
Makueni,137707.00,146344.00,143095.00,127066.00,77327.00,66399.00,68469.00,64351.00,48664.00,40022.00,33414.00,30313.00,22242.00,16218.00,10638.00,6324.00,8739.00
Mandera,295246.00,404683.00,433922.00,303387.00,151360.00,105684.00,121576.00,116839.00,113468.00,65449.00,50625.00,26166.00,26790.00,11885.00,11884.00,4131.00,5463.00
Marsabit,51381.00,53034.00,51063.00,43914.00,30003.00,22730.00,22008.00,17394.00,16404.00,10651.00,10155.00,6012.00,6609.00,3811.00,3888.00,1472.00,2142.00
Meru,213893.00,205345.00,193339.00,166774.00,146166.00,143383.00,135976.00,111903.00,83842.00,69140.00,51710.00,40935.00,32820.00,22641.00,16047.00,8857.00,9763.00
Migori,197067.00,164590.00,145285.00,127302.00,99151.00,76983.00,67584.00,52936.00,41232.00,31418.00,25039.00,19358.00,14409.00,11533.00,6640.00,4681.00,3338.00
Mombasa,152700.00,121310.00,103979.00,114980.00,155043.00,157407.00,135742.00,105029.00,70520.00,45447.00,29973.00,19440.00,12794.00,8254.00,4643.00,2541.00,2183.00
Murang'a,124248.00,130415.00,131024.00,113688.00,87134.00,83070.00,86502.00,79622.00,68025.00,55590.00,40062.00,36809.00,31409.00,26176.00,14430.00,9248.00,9145.00
Nairobi,496990.00,386227.00,320213.00,371982.00,616616.00,620814.00,509905.00,381055.00,258190.00,162609.00,97380.00,59955.00,35440.00,20767.00,10205.00,5505.00,5319.00
Nakuru,303992.00,287031.00,258368.00,220614.00,216602.00,194054.00,176141.00,149235.00,109427.00,80972.00,52842.00,41597.00,30914.00,24702.00,13105.00,7885.00,8224.00
Nandi,154379.00,144773.00,129130.00,112589.00,94709.00,77577.00,72009.00,62003.00,46573.00,35477.00,25754.00,21088.00,14746.00,12427.00,6858.00,4683.00,5679.00
Narok,222136.00,193496.00,159637.00,128568.00,111171.00,91410.00,80055.00,69428.00,50488.00,36950.00,24201.00,17723.00,14219.00,10140.00,6353.00,3440.00,4340.00
Nyamira,105607.00,97261.00,89266.00,83569.00,64321.00,54166.00,49182.00,44857.00,33535.00,30990.00,21645.00,15042.00,11376.00,8037.00,5469.00,3261.00,2947.00
Nyandarua,94450.00,100854.00,96403.00,76194.00,56355.00,52762.00,54079.00,51352.00,42528.00,31447.00,19277.00,16847.00,13718.00,12604.00,6497.00,3953.00,3727.00
Nyeri,79294.00,82020.00,84594.00,76019.00,65766.00,64545.00,66498.00,62100.00,54511.00,42284.00,27294.00,24294.00,22380.00,17883.00,10426.00,6298.00,6674.00
Samburu,53222.00,47871.00,42598.00,34978.00,26531.00,20388.00,17988.00,16387.00,11413.00,8407.00,6604.00,4652.00,4715.00,3138.00,2084.00,1168.00,1143.00
Siaya,168107.00,144110.00,139936.00,125977.00,90462.00,70208.00,63685.00,51424.00,44912.00,37099.00,33239.00,30467.00,25414.00,19283.00,13086.00,8744.00,5764.00
Taita Taveta,44819.00,42798.00,41369.00,39097.00,31509.00,29443.00,29495.00,26956.00,21426.00,16777.00,12901.00,11154.00,8379.00,6992.00,4122.00,2512.00,2132.00
Tana River,56920.00,50356.00,39803.00,33117.00,24790.00,21189.00,19260.00,16502.00,12844.00,10280.00,7958.00,5930.00,4495.00,2963.00,1815.00,1040.00,1257.00
Tharaka,53188.00,51100.00,49294.00,43402.00,34984.00,32310.00,32936.00,28969.00,22511.00,19574.00,15006.00,12497.00,9949.00,7149.00,4487.00,2732.00,3145.00
Trans Nzoia,185988.00,174366.00,152018.00,133009.00,105667.00,86101.00,80798.00,66698.00,51403.00,39666.00,28601.00,22014.00,15636.00,11962.00,6904.00,4493.00,3737.00
Turkana,142459.00,176759.00,188437.00,166299.00,107764.00,84625.00,73440.00,65598.00,52080.00,35577.00,27510.00,21504.00,16543.00,10404.00,5766.00,2975.00,3208.00
Uasin Gishu,171432.00,158214.00,142505.00,132287.00,138147.00,111062.00,98364.00,80821.00,57581.00,42009.00,27643.00,21576.00,14556.00,11759.00,6703.00,4212.00,5039.00
Vihiga,95449.00,92908.00,87977.00,76772.00,47867.00,38411.00,38785.00,34868.00,30907.00,25521.00,23301.00,21408.00,16648.00,14118.00,8839.00,5707.00,4214.00
Wajir,188836.00,252608.00,265244.00,188064.00,104179.00,78321.00,85788.00,73038.00,77039.00,40360.00,35896.00,17233.00,19415.00,8444.00,9076.00,3314.00,4304.00
West Pokot,124548.00,117603.00,104205.00,78658.00,58249.00,47726.00,42316.00,36109.00,27336.00,19405.00,14701.00,11203.00,8848.00,6378.00,3684.00,2061.00,2863.00
Machakos/Muranga,592799.50,634920.50,627380.50,537742.00,425416.50,386935.50,387205.50,340779.50,296694.00,216181.50,161468.50,126235.00,111261.50,79622.50,51818.50,28939.50,33917.50
Mandera,295246.00,404683.00,433922.00,303387.00,151360.00,105684.00,121576.00,116839.00,113468.00,65449.00,50625.00,26166.00,26790.00,11885.00,11884.00,4131.00,5463.00
Baringo/Nakuru,347512.50,342313.50,319413.00,263009.50,221140.50,196346.00,180868.00,158202.50,121475.00,91787.50,61777.00,49671.00,39232.00,30931.50,17115.50,10224.50,10710.50
Nairobi,980366.00,830082.00,731281.50,750077.00,982561.00,960145.50,831319.00,649585.50,467771.00,317033.50,206810.00,147258.50,98904.00,70860.50,38762.50,23337.50,22742.50
Uasin Gishu,552833.00,521414.00,468088.00,405423.00,353543.00,295246.00,271809.00,227644.00,173380.00,130967.00,91084.00,72540.00,52108.00,39511.00,24002.00,14815.00,16179.00
Marsabit,51381.00,53034.00,51063.00,43914.00,30003.00,22730.00,22008.00,17394.00,16404.00,10651.00,10155.00,6012.00,6609.00,3811.00,3888.00,1472.00,2142.00
Garissa,227348.00,197071.00,177845.50,156104.50,118484.00,91510.50,80581.00,62696.00,51645.00,41860.00,34471.00,28115.00,22225.50,16408.50,10497.50,7054.00,5530.50
Nakuru/Narok,310289.00,290690.50,257204.00,212688.00,192064.00,169113.00,155137.50,135007.50,101221.50,74684.50,48160.00,38083.50,29425.50,23723.00,12977.50,7639.00,8145.50
Turkana,142459.00,176759.00,188437.00,166299.00,107764.00,84625.00,73440.00,65598.00,52080.00,35577.00,27510.00,21504.00,16543.00,10404.00,5766.00,2975.00,3208.00
Taita Taveta,44819.00,42798.00,41369.00,39097.00,31509.00,29443.00,29495.00,26956.00,21426.00,16777.00,12901.00,11154.00,8379.00,6992.00,4122.00,2512.00,2132.00
Kitui/Meru,430493.00,408610.50,374641.00,323914.00,272251.50,257960.00,239578.00,203610.50,152274.00,116994.50,86826.00,69244.00,55319.00,38778.50,26946.50,14721.50,17486.50
Kilifi/Mombasa,297396.00,251840.50,218655.50,212883.67,229203.00,221199.83,198636.00,155451.50,109705.67,74571.00,55374.17,38568.00,27865.67,19598.33,11212.00,6437.83,5763.00
Kericho/Kisumu,504514.00,468344.50,422876.00,386702.00,326608.00,263738.00,237133.00,200030.50,145683.00,123503.50,87961.50,66412.50,49615.50,34971.50,22386.50,14530.50,13889.00
Kilifi/Lamu,123009.00,111939.00,96055.50,83010.17,64370.00,54450.83,52650.00,43540.00,34287.67,25567.00,21404.67,16091.00,12697.17,9215.83,5482.50,3104.33,3168.50
Kakamega/Kisumu,1022078.00,929580.50,851698.00,750746.00,567692.00,446871.00,414869.00,345334.50,281521.00,225045.50,179260.50,149893.50,112949.50,90910.50,55843.50,37268.50,29641.00
Wajir,188836.00,252608.00,265244.00,188064.00,104179.00,78321.00,85788.00,73038.00,77039.00,40360.00,35896.00,17233.00,19415.00,8444.00,9076.00,3314.00,4304.00
Kajiado/Kisumu,396597.50,388896.00,362460.00,320322.00,210941.00,171440.00,172962.50,156181.50,123140.00,98656.50,80205.50,70313.50,52735.50,39618.50,25535.50,15567.50,17782.50
Homa bay/Migori,548791.00,474019.00,422243.50,373794.00,297747.50,235195.00,206849.50,175293.00,133695.00,109703.00,81909.50,60427.50,46014.50,34311.00,21509.50,13559.00,12007.00
Samburu/Laikipia,89959.50,84340.00,76829.50,62887.50,49867.00,42397.00,39296.00,35287.00,26970.50,20447.00,14593.50,11121.00,10174.00,7347.50,4360.50,2413.50,2582.00
Kilifi/Kwale,144696.00,130530.50,114676.50,97903.67,74160.00,63792.83,62894.00,50422.50,39185.67,29124.00,25401.17,19128.00,15071.67,11344.33,6569.00,3896.83,3580.00
