county,sub-county,Age,Male,Female,Total
BARINGO,ALL,Total,336322,330428,666750
BARINGO,ALL,0,8303,7982,16285
BARINGO,ALL,1,8669,8417,17086
BARINGO,ALL,2,10226,9762,19988
BARINGO,ALL,3,10265,10086,20351
BARINGO,ALL,4,11045,10276,21321
BARINGO,ALL,0 - 4,48508,46523,95031
BARINGO,ALL,5,10701,10047,20748
BARINGO,ALL,6,10949,10422,21371
BARINGO,ALL,7,9595,9082,18677
BARINGO,ALL,8,10276,10027,20303
BARINGO,ALL,9,9355,9101,18456
BARINGO,ALL,5-9,50876,48679,99555
BARINGO,ALL,10,12772,11975,24747
BARINGO,ALL,11,8102,8365,16467
BARINGO,ALL,12,11844,10549,22393
BARINGO,ALL,13,9747,9167,18914
BARINGO,ALL,14,9920,9151,19071
BARINGO,ALL,10 -14,52385,49207,101592
BARINGO,ALL,15,10511,9330,19841
BARINGO,ALL,16,8720,8131,16851
BARINGO,ALL,17,8494,7641,16135
BARINGO,ALL,18,7287,6686,13973
BARINGO,ALL,19,7312,6836,14148
BARINGO,ALL,15-19,42324,38624,80948
BARINGO,ALL,20,7833,7737,15570
BARINGO,ALL,21,5933,6111,12044
BARINGO,ALL,22,5679,5987,11666
BARINGO,ALL,23,5840,6017,11857
BARINGO,ALL,24,5303,5405,10708
BARINGO,ALL,20-24,30588,31257,61845
BARINGO,ALL,25,6470,6583,13053
BARINGO,ALL,26,4296,4652,8948
BARINGO,ALL,27,4417,4584,9001
BARINGO,ALL,28,3754,4292,8046
BARINGO,ALL,29,3956,4254,8210
BARINGO,ALL,25-29,22893,24365,47258
BARINGO,ALL,30,6117,6540,12657
BARINGO,ALL,31,3290,3428,6718
BARINGO,ALL,32,3900,4109,8009
BARINGO,ALL,33,3299,3485,6784
BARINGO,ALL,34,2773,2899,5672
BARINGO,ALL,30-34,19379,20461,39840
BARINGO,ALL,35,5022,5023,10045
BARINGO,ALL,36,2612,2449,5061
BARINGO,ALL,37,2697,2318,5015
BARINGO,ALL,38,1984,2084,4068
BARINGO,ALL,39,2335,2201,4536
BARINGO,ALL,35-39,14650,14075,28725
BARINGO,ALL,40,3863,3488,7351
BARINGO,ALL,41,2944,2634,5578
BARINGO,ALL,42,2351,2237,4588
BARINGO,ALL,43,1895,2086,3981
BARINGO,ALL,44,1440,1583,3023
BARINGO,ALL,40-44,12493,12028,24521
BARINGO,ALL,45,3764,3602,7366
BARINGO,ALL,46,1954,2078,4032
BARINGO,ALL,47,2040,2073,4113
BARINGO,ALL,48,1278,1289,2567
BARINGO,ALL,49,1627,1785,3412
BARINGO,ALL,45-49,10663,10827,21490
BARINGO,ALL,50,2502,2745,5247
BARINGO,ALL,51,1471,1457,2928
BARINGO,ALL,52,1259,1371,2630
BARINGO,ALL,53,1004,1067,2071
BARINGO,ALL,54,1432,1517,2949
BARINGO,ALL,50-54,7668,8157,15825
BARINGO,ALL,55,1305,1107,2412
BARINGO,ALL,56,1163,1176,2339
BARINGO,ALL,57,1170,1492,2662
BARINGO,ALL,58,1395,1537,2932
BARINGO,ALL,59,1406,1390,2796
BARINGO,ALL,55-59,6439,6702,13141
BARINGO,ALL,60,1946,2061,4007
BARINGO,ALL,61,1213,1064,2277
BARINGO,ALL,62,868,875,1743
BARINGO,ALL,63,944,948,1892
BARINGO,ALL,64,642,670,1312
BARINGO,ALL,60-64,5613,5618,11231
BARINGO,ALL,65,1223,1405,2628
BARINGO,ALL,66,560,557,1117
BARINGO,ALL,67,1069,976,2045
BARINGO,ALL,68,574,565,1139
BARINGO,ALL,69,943,1026,1969
BARINGO,ALL,65-69,4369,4529,8898
BARINGO,ALL,70,1267,1525,2792
BARINGO,ALL,71,874,776,1650
BARINGO,ALL,72,593,566,1159
BARINGO,ALL,73,409,486,895
BARINGO,ALL,74,477,529,1006
BARINGO,ALL,70-74,3620,3882,7502
BARINGO,ALL,75,493,543,1036
BARINGO,ALL,76,306,310,616
BARINGO,ALL,77,318,354,672
BARINGO,ALL,78,212,224,436
BARINGO,ALL,79,350,591,941
BARINGO,ALL,75-79,1679,2022,3701
BARINGO,ALL,80,458,681,1139
BARINGO,ALL,81,167,345,512
BARINGO,ALL,82,137,167,304
BARINGO,ALL,83,169,258,427
BARINGO,ALL,84,185,277,462
BARINGO,ALL,80-84,1116,1728,2844
BARINGO,ALL,85,137,239,376
BARINGO,ALL,86,102,134,236
BARINGO,ALL,87,123,137,260
BARINGO,ALL,88,51,71,122
BARINGO,ALL,89,185,318,503
BARINGO,ALL,85-89,598,899,1497
BARINGO,ALL,90,85,186,271
BARINGO,ALL,91,58,80,138
BARINGO,ALL,92,39,57,96
BARINGO,ALL,93,38,55,93
BARINGO,ALL,94,33,62,95
BARINGO,ALL,90-94,253,440,693
BARINGO,ALL,95,55,116,171
BARINGO,ALL,96,22,31,53
BARINGO,ALL,97,27,34,61
BARINGO,ALL,98,8,29,37
BARINGO,ALL,99,29,68,97
BARINGO,ALL,95-99,141,278,419
BARINGO,ALL,100+,66,126,192
BARINGO,ALL,Not Stated,1,1,2
BARINGO,BARINGO CENTRAL,Total,48120,48829,96949
BARINGO,BARINGO CENTRAL,0,1110,1071,2181
