Age,Male,Female,Total
KWALE,,,
Total,"362,726","377,650","740,376"
0,"10,626","10,664","21,290"
1,"11,099","10,811","21,910"
2,"11,621","11,393","23,014"
3,"11,717","11,924","23,641"
4,"12,551","12,166","24,717"
0 - 4,"57,614","56,958","114,572"
5,"12,964","12,565","25,529"
6,"12,303","11,966","24,269"
7,"11,651","11,145","22,796"
8,"11,080","11,054","22,134"
9,"11,625","11,215","22,840"
5-9,"59,623","57,945","117,568"
10,"11,787","11,695","23,482"
11,"10,653","10,749","21,402"
12,"11,892","11,346","23,238"
13,"11,807","11,528","23,335"
14,"10,470","10,002","20,472"
10-14,"56,609","55,320","111,929"
15,"9,835","9,356","19,191"
16,"9,116","8,814","17,930"
17,"9,005","8,041","17,046"
18,"8,165","7,460","15,625"
19,"7,707","7,881","15,588"
15-19,"43,828","41,552","85,380"
20,"7,111","7,960","15,071"
21,"4,954","5,631","10,585"
22,"5,124","6,145","11,269"
23,"4,927","6,093","11,020"
24,"4,426","5,408","9,834"
20-24,"26,542","31,237","57,779"
25,"5,498","6,437","11,935"
26,"4,328","5,497","9,825"
27,"4,356","5,138","9,494"
28,"3,756","4,918","8,674"
29,"3,652","4,965","8,617"
25-29,"21,590","26,955","48,545"
30,"5,233","7,134","12,367"
31,"3,244","4,254","7,498"
32,"3,984","5,050","9,034"
33,"3,296","4,189","7,485"
34,"3,280","3,838","7,118"
30-34,"19,037","24,465","43,502"
35,"4,537","5,096","9,633"
36,"2,988","3,336","6,324"
37,"2,811","3,014","5,825"
38,"2,210","2,397","4,607"
39,"2,447","2,514","4,961"
35-39,"14,993","16,357","31,350"
40,"3,725","4,089","7,814"
41,"2,915","3,234","6,149"
42,"3,114","3,633","6,747"
43,"2,586","3,050","5,636"
44,"2,252","2,374","4,626"
40-44,"14,592","16,380","30,972"
45,"3,626","3,561","7,187"
46,"2,167","2,371","4,538"
47,"2,414","2,240","4,654"
48,"1,771","1,673","3,444"
49,"1,960","1,635","3,595"
45-49,"11,938","11,480","23,418"
50,"3,097","3,117","6,214"
51,"1,926","1,485","3,411"
52,"1,495","1,153","2,648"
53,956,695,"1,651"
54,"1,199",852,"2,051"
50-54,"8,673","7,302","15,975"
55,"1,440","1,166","2,606"
56,"1,651","1,504","3,155"
57,"1,432","1,431","2,863"
58,"1,200","1,147","2,347"
59,"1,447","1,833","3,280"
