county,subcounty,ward
Baringo,Eldama Ravine,Lembus
Baringo,Baringo Central,Ewalel/Chapchap
Baringo,Baringo Central,Kabarnet
Baringo,Baringo Central,Kapropita
Baringo,Baringo Central,Sacho
Baringo,Baringo Central,Tenges
Baringo,Baringo North,Bartabwa
Baringo,Baringo North,Barwessa
Baringo,Baringo North,Kabartonjo
Baringo,Baringo North,Saimo/Kipsaraman
Baringo,Baringo North,Saimo/Soi
Baringo,Baringo South,Ilchamus
Baringo,Baringo South,Marigat
Baringo,Baringo South,Mochongoi
Baringo,Baringo South,Mukutani
Baringo,Eldama Ravine,Koibatek
Baringo,Eldama Ravine,Lembus Kwen
Baringo,Eldama Ravine,Lembus/Perkerra
Baringo,Eldama Ravine,Mumberes/Maji Mazuri
Baringo,Eldama Ravine,Ravine
Baringo,Mogotio,Emining
Baringo,Mogotio,Kisanana
Baringo,Mogotio,Mogotio
Baringo,Tiaty,Churo/Amaya
Baringo,Tiaty,Kolowa
Baringo,Tiaty,Loiyamorock
Baringo,Tiaty,Ribkwo
Baringo,Tiaty,Silale
Baringo,Tiaty,Tangulbei/Korossi
Baringo,Tiaty,Tirioko
Bomet,Bomet Central,Chesoen
Bomet,Bomet Central,Mutarakwa
Bomet,Bomet Central,Ndaraweta
Bomet,Bomet Central,Silibwet Township
Bomet,Bomet Central,Singorwet
Bomet,Bomet East,Chemaner
Bomet,Bomet East,Kembu
Bomet,Bomet East,Kipreres
Bomet,Bomet East,Longisa
Bomet,Bomet East,Merigi
Bomet,Chepalungu,Chebunyo
Bomet,Chepalungu,Kong'Asis
Bomet,Chepalungu,Nyangores
Bomet,Chepalungu,Sigor
Bomet,Chepalungu,Siongiroi
Bomet,Konoin,Boito
Bomet,Konoin,Chepchabas
Bomet,Konoin,Embomos
Bomet,Konoin,Kimulot
Bomet,Konoin,Mogogosiek
Bomet,Sotik,Chemagel
Bomet,Sotik,Kapletundo
Bomet,Sotik,Kipsonoi
Bomet,Sotik,Ndanai/Abosi
Bomet,Sotik,Rongena/Manaret
Bungoma,Bumula,Bumula
Bungoma,Bumula,Kabula
Bungoma,Bumula,Khasoko
Bungoma,Bumula,Kimaeti
Bungoma,Bumula,Siboti
Bungoma,Bumula,South Bukusu
Bungoma,Bumula,West Bukusu
Bungoma,Kabuchai,Bwake/Luuya
Bungoma,Kabuchai,Kabuchai/Chwele
Bungoma,Kabuchai,Mukuyuni
Bungoma,Kabuchai,West Nalondo
Bungoma,Kanduyi,Bukembe East
Bungoma,Kanduyi,Bukembe West
Bungoma,Kanduyi,East Sang'Alo
Bungoma,Kanduyi,Khalaba
Bungoma,Kanduyi,Marakaru/Tuuti
Bungoma,Kanduyi,Musikoma
Bungoma,Kanduyi,Township
Bungoma,Kanduyi,West Sang'Alo
Bungoma,Kimilili,Kamukuywa
Bungoma,Kimilili,Kibingei
Bungoma,Kimilili,Kimilili
Bungoma,Kimilili,Maeni
Kakamega,Likuyani,Kongoni
Kakamega,Likuyani,Likuyani
Kakamega,Likuyani,Nzoia
Kakamega,Likuyani,Sango
Kakamega,Likuyani,Sinoko
Kakamega,Lugari,Chekalini
Kakamega,Lugari,Lugari
Kakamega,Lugari,Lumakanda
Kakamega,Lugari,Mautuma
Bungoma,Mt. Elgon,Cheptais
Bungoma,Mt. Elgon,Chepyuk
Bungoma,Mt. Elgon,Chesikaki
Bungoma,Mt. Elgon,Elgon
Bungoma,Mt. Elgon,Kapkateny
Bungoma,Mt. Elgon,Kaptama
Bungoma,Sirisia,Lwandanyi
Bungoma,Sirisia,Malakisi/South Kulisiru
Bungoma,Sirisia,Namwela
Bungoma,Tongaren,Mbakalo
Bungoma,Tongaren,Milima
Bungoma,Tongaren,Naitiri/Kabuyefwe
Bungoma,Tongaren,Ndalu/ Tabani
Bungoma,Tongaren,Soysambu/ Mitua
Bungoma,Tongaren,Tongaren
Bungoma,Webuye West,Bokoli
Bungoma,Webuye West,Matulo
Bungoma,Webuye West,Misikhu
Bungoma,Webuye West,Sitikho
Bungoma,Webuye East,Maraka
Bungoma,Webuye East,Mihuu
Bungoma,Webuye East,Ndivisi
Busia,Budalangi,Bunyala Central
Busia,Budalangi,Bunyala North
Busia,Budalangi,Bunyala South
Busia,Budalangi,Bunyala West
Busia,Butula,Elugulu
Busia,Butula,Kingandole
Busia,Butula,Marachi Central
Busia,Butula,Marachi East
Busia,Butula,Marachi North
Busia,Butula,Marachi West
Busia,Funyula,Ageng'A Nanguba
Busia,Funyula,Bwiri
Busia,Funyula,Namboboto Nambuku
Busia,Funyula,Nangina
Busia,Matayos,Bukhayo West
Busia,Matayos,Burumba
Busia,Matayos,Busibwabo
Busia,Matayos,Matayos South
Busia,Matayos,Mayenje
Busia,Nambale,Bukhayo Central
Busia,Nambale,Bukhayo East
Busia,Nambale,Bukhayo North/Waltsi
Busia,Nambale,Nambale Township
Busia,Teso North,Ang'Urai East
Busia,Teso North,Ang'Urai North
Busia,Teso North,Ang'Urai South
Busia,Teso North,Malaba Central
Busia,Teso North,Malaba North
Busia,Teso North,Malaba South
Busia,Teso South,Amukura Central
Busia,Teso South,Amukura East
Busia,Teso South,Amukura West
Busia,Teso South,Ang'Orom
Busia,Teso South,Chakol North
Busia,Teso South,Chakol South
Elgeyo-Marakwet,Keiyo North,Emsoo
Elgeyo-Marakwet,Keiyo North,Kamariny
Elgeyo-Marakwet,Keiyo North,Kapchemutwa
Elgeyo-Marakwet,Keiyo North,Tambach
Elgeyo-Marakwet,Keiyo South,Chepkorio
Elgeyo-Marakwet,Keiyo South,Kabiemit
