ï»¿County,Gender,Age_Group_of_Household_head_15-24_%_,Age_Group_of_Household_head_25-34_%,Age_Group_of_Household_head_35-59_%,Age_Group_of_Household_head_60+_%,Number_of_households,County_Centroid,OBJECTID
Mombasa,Female,16.80%,36.80%,39.50%,6.80%,59858,"(-4.018795613, 39.653975520000003)",0
Kwale,Female,10.90%,25.40%,46.50%,17.10%,40265,"(-4.1398571640000004, 39.15036963)",1
Kilifi,Female,12.50%,26.60%,46.20%,14.70%,64963,"(-3.1731002359999998, 39.683055940000003)",2
Tana Rriver,Female,16.90%,25.60%,43.30%,14.20%,14447,"(-1.557428783, 39.412916930000002)",3
Lamu,Female,9.50%,22.60%,48.70%,19.20%,5515,"(-2.0391399720000001, 40.767880740000003)",4
Taita Taveta,Female,7.30%,19.40%,49.10%,24.10%,23915,"(-3.4337677430000002, 38.417085350000001)",5
Marsabit,Female,14.90%,22.60%,40.70%,21.70%,21594,"(2.9818558570000002, 37.570225430000001)",6
Nairobi,Female,17.80%,39%,38.30%,4.80%,233009,"(-1.2926489320000001, 36.864854780000002)",7
Nyandarua,Female,6.80%,21.10%,47.90%,24.20%,49694,"(-0.32014949999999998, 36.480091790000003)",8
Nyeri,Female,0.80%,14.60%,49.10%,35.50%,71938,"(-0.34295653199999998, 36.953878789999997)",9
Kirinyaga,Female,6.60%,20.80%,43.40%,29.10%,46190,"(-0.522402857, 37.318654029999998)",10
Muranga,Female,5.90%,18.80%,43.60%,31.70%,95232,"(-0.80897564700000002, 37.03181197)",11
Kiambu,Female,9.80%,26.30%,42.90%,21%,132230,"(-1.0689645299999999, 36.821352779999998)",12
Isiolo,Female,16.60%,26%,41.80%,15.60%,12070,"(1.011526022, 38.539068929999999)",13
Meru,Female,9.10%,23.40%,44.10%,23.40%,91807,"(0.14893278900000001, 37.748684419999996)",14
Tharaka,Female,7.70%,22.40%,44.60%,25.40%,28325,"(-0.19534945200000001, 37.932166090000003)",15
Embu,Female,7.40%,21.10%,45.90%,25.60%,43021,"(-0.60206859300000004, 37.625252140000001)",16
Kitui,Female,9%,24.60%,46.40%,19.90%,92758,"(-1.4867170190000001, 38.405995099999998)",17
Machakos,Female,8.30%,24.20%,46.30%,21.10%,96858,"(-1.2728947989999999, 37.41023963)",18
Makueni,Female,7.70%,23.10%,47.90%,21.40%,77106,"(-2.150161105, 37.783676219999997)",19
Garissa,Female,10.80%,26.30%,47.60%,15.30%,25015,"(-0.48705736100000002, 40.182868569999997)",20
Wajir,Female,7.80%,23.90%,51.10%,17.20%,16859,"(1.8078659530000001, 40.035683050000003)",21
Mandera,Female,6%,24.90%,57%,12.10%,23428,"(3.4378074010000002, 40.735090630000002)",22
Narok,Male,10.60%,34.90%,44.20%,10.20%,111229,"(-1.254599408, 35.57472679)",23
Siaya,Female,7.70%,17.60%,43%,31.70%,90120,"(-0.059702986999999999, 34.246468110000002)",24
Kisumu,Female,10.10%,23.20%,43.80%,22.90%,82503,"(-0.16775005200000001, 34.834951770000004)",25
Homa Bay,Female,10.60%,23.30%,42.40%,23.70%,90126,"(-0.54096459799999996, 34.357439360000001)",26
Migori,Female,11%,24.40%,44.60%,20%,68964,"(-0.987697987, 34.368357680000003)",27
Kisii,Female,11%,23.60%,44.10%,21.40%,84024,"(-0.77064898299999995, 34.775954489999997)",28
Nyamira,Female,9.70%,23.80%,43.80%,22.70%,43093,"(-0.64099632399999995, 34.965002290000001)",29
Turkana,Female,7.50%,22.70%,52.10%,17.70%,45571,"(3.430630909, 35.426022940000003)",30
West Pokot,Female,13.50%,27.40%,42.60%,16.60%,32411,"(1.7226525589999999, 35.245003330000003)",31
Samburu,Female,20.50%,25.60%,38.70%,15.20%,22492,"(1.3198759849999999, 37.116767690000003)",32
Trans Nzoia,Female,9.60%,24.20%,48.80%,17.40%,50069,"(1.051858832, 34.957441060000001)",33
