county,median_time_to_peak_asymptomatics,lower_estimate_time_to_peak_asymptomatics,upper_estimate_time_to_peak_asymptomatics,median_time_to_peak_Mild_cases,lower_estimate_time_to_peak_Mild_cases,upper_estimate_time_to_peak_Mild_cases,median_time_to_peak_Severe_cases,lower_estimate_time_to_peak_Severe_cases,upper_estimate_time_to_peak_Severe_cases
Baringo,275.0,0.0,351.025,258.0,-166.025,345.0,248.0,-202.2,341.0
Bomet,292.0,2.0,352.0,278.0,-70.05,345.0,266.0,-137.075,343.0
Bungoma,276.0,2.0,348.0,265.0,-91.14999999999999,343.0,260.0,-205.0,340.0
Busia,254.0,0.0,337.025,240.0,-216.025,329.025,232.0,-234.0,326.025
Elgeyo Marakwet,256.0,0.0,340.025,240.0,-249.0,330.0999999999999,225.5,-249.0,325.025
Embu,318.0,2.0,357.0,299.0,-24.099999999999994,353.0,289.0,-49.05,349.0
Garissa,270.5,0.0,353.0,256.0,-184.1,346.025,242.5,-188.05,338.025
Homa Bay,271.0,0.0,347.0,256.0,-180.25,341.025,250.0,-210.025,334.0
Isiolo,255.0,0.0,343.0,239.0,-205.05,336.025,227.0,-215.075,328.025
Kajiado,343.0,55.975,359.0,327.5,3.0,357.0,317.5,-12.0,356.0
Kakamega,283.0,1.9500000000000028,349.025,271.0,-117.125,346.0,265.0,-172.025,344.0
Kericho,291.0,1.9750000000000014,352.0,274.0,-68.1,345.0,265.0,-153.025,343.025
Kiambu,357.0,11.975000000000001,362.0,346.0,5.0,362.0,337.0,-2.0,361.0
Kilifi,351.0,76.67500000000001,361.0,336.0,14.850000000000009,360.0,326.0,-4.0,359.0
Kirinyaga,324.0,38.900000000000006,358.0,304.0,-9.049999999999997,354.0,293.0,-39.05,352.025
Kisii,282.0,0.0,352.0,268.0,-95.19999999999999,345.025,261.0,-151.05,341.025
Kisumu,284.5,2.0,351.0,272.0,-94.0,346.0,264.0,-148.075,345.0
Kitui,324.0,92.775,358.0,310.0,13.0,354.0,300.0,-12.024999999999999,353.0
Kwale,349.0,16.0,361.0,331.0,7.925000000000004,359.025,319.0,-6.0,359.0
Laikipia,283.0,0.0,353.0,269.0,-113.05,345.025,258.5,-148.025,343.025
Lamu,250.0,0.0,345.025,232.0,-211.125,334.025,216.0,-229.075,327.04999999999995
Machakos,350.0,54.925000000000004,361.0,340.0,9.975000000000001,360.0,329.5,-4.0,359.0
Makueni,325.0,49.95,358.0,309.0,-4.024999999999999,354.0,303.0,-12.024999999999999,354.0
Mandera,350.0,11.925000000000004,364.0,320.0,1.0,363.0,304.5,0.0,362.0
Marsabit,263.0,0.0,351.0,248.0,-182.075,340.025,237.5,-222.05,336.025
Meru,323.5,58.0,358.025,311.0,2.0,354.0,304.0,-45.099999999999994,353.0
Migori,271.0,0.0,348.025,258.0,-184.075,342.025,247.0,-203.1,340.025
Mombasa,359.0,0.9750000000000014,364.0,343.5,1.0,364.0,329.0,0.0,363.0
Muranga,345.0,44.900000000000006,360.0,332.0,-1.0249999999999986,359.0,322.0,-7.0,357.0
Nairobi,362.0,0.0,364.0,352.0,1.0,364.0,342.0,1.0,364.0
Nakuru,340.0,147.82500000000002,360.0,328.0,2.0,358.025,320.0,-16.0,357.0
Nandi,275.5,0.0,346.025,259.0,-154.025,342.025,252.0,-160.025,339.025
Narok,327.0,22.750000000000014,358.0,310.0,-11.024999999999999,356.0,300.0,-36.0,353.0
Nyamira,269.0,0.0,345.0,251.5,-165.125,335.025,243.0,-194.05,335.0
Nyandarua,319.0,0.0,357.025,301.5,-17.0,353.0,291.5,-69.1,353.0
Nyeri,328.0,12.875000000000007,358.0,309.0,-7.0,355.0,303.0,-40.05,354.0
Samburu,246.0,0.0,343.025,229.5,-244.1,335.0,217.0,-259.15,326.025
Siaya,259.0,0.0,339.025,248.0,-226.05,330.0,239.0,-241.37499999999997,326.0
Taita Taveta,294.0,2.0,356.0,284.5,-18.0,351.0,273.0,-69.025,349.0
Tana River,263.0,0.0,347.0,245.5,-181.05,338.0,235.0,-208.05,337.0
Tharaka-Nithi,288.0,1.9500000000000028,355.0,270.0,-52.05,344.0,265.0,-119.05,341.025
Trans Nzoia,270.0,0.0,347.0,256.0,-178.0,342.025,247.0,-202.05,342.0
Turkana,261.0,0.0,351.0,250.0,-220.025,344.0,239.5,-235.0,341.0
Uasin Gishu,286.0,0.0,352.0,275.0,-115.1,345.0,267.0,-152.025,344.025
Vihiga,255.5,0.0,338.025,237.0,-241.025,330.0,233.0,-249.075,325.04999999999995
Wajir,301.0,0.0,356.0,285.0,-106.27499999999998,351.025,271.0,-160.025,346.025
West Pokot,259.0,0.0,346.0,243.5,-237.0,339.025,234.0,-248.05,334.0
